Formula for Index,Index,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Current Source Question,V2 Source Question,V1 Source Question,GridID/Source Question Name,"Deprecated, New, or Revised","Date Deprecated, New, or Revised Variable Pushed to Prod",conceptId,Current Question Text,V2 Question Text,V1 Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions - Surveys Only,Variable Type,Variable Length,conceptId,Current Format/Value,R0 Format/Value,Required,PII,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,GCP Document/Table,Stub Record Variable to be Retained,Question Type,IMS Review Notes
58,58,192505768,Recruitment,883203566,Sign in,,,,,,,,749475364,Eligibility algorithm version,,,Elig Algorithm Vers,RcrtSI_EligibilityVer_v1r0,,Char,25,,N/A,,Yes,No,Version of the algorithm use to select the pool of eligible participants that the active recruit is selected from. Sent with de-identified individual demographic variables when participants moved from Eligibility pool to active recruits with submitParticipantsData API call.,,Recruitment Data Dictionary,Yes,No,,Participants Table Not nested (state_d_749475364),,,
59,59,192505768,Recruitment,883203566,Sign in,,,,,,,,477091792,IHCS Membership Status,,,IHCS Member Status,RcrtSI_MemberStat_v1r0,,Num,1,939572698,0=Member of IHCS Health Plan,,Yes,No,Sent with de-identified individual demographic variables when participants moved from Eligibility pool to active recruits with submitParticipantsData API call.,,Recruitment Data Dictionary,Yes,No,,Participants Table Not nested (state_d_477091792),,,
60,60,,,,,,,,,,,,,,,,,,,,,512786135,1=Non-Member IHCS Patient,,,,,,,,,,,,,
61,61,,,,,,,,,,,,,,,,,,,,,582670006,2=Member and Patient of IHCS Health Plan,,,,,,,,,,,,,
62,62,192505768,Recruitment,883203566,Sign in,,,,,,Revised,3/25/26,667474224,Campaign Type,,,Campaign,RcrtSI_CampaignType_v1r0,,Num,2,926338735,0=Random,,Yes,No,Sent with de-identified individual demographic variables when participants moved from Eligibility pool to active recruits with submitParticipantsData API call; Variable previously revised on 8/21/2023; Variable marked as revised on 3/9/26 due to addition of response type """"""""""""""""""""""""""""""""Urgent Care Visit"""""""""""""""""""""""""""""""" and length updated from 1 to 2,,Recruitment Data Dictionary,Yes,No,3/9/26,Participants Table Not nested (state_d_667474224),,,
63,63,,,,,,,,,,,,,,,,,,,,,348281054,1=Screening appointment,,,,"For passive recruits, 88 = None of the above, should be used when campaign type is not available.",,,,,,,,,
64,64,,,,,,,,,,,,,,,,,,,,,324692899,2=Non-screening appointment,,,,,,,,,,,,,
65,65,,,,,,,,,,,,,,,,,,,,,351257378,3=Demographic Group,,,,,,,,,,,,,
66,66,,,,,,,,,,,,,,,,,,,,,647148178,4=Aging out of study,,,,,,,,,,,,,
67,67,,,,,,,,,,,,,,,,,,,,,834544960,5=Geographic group,,,,,,,,,,,,,
68,68,,,,,,,,,,,,,,,,,,,,,682916147,6=Post-Screening Selection,,,,,,,,,,,,,
